ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	GLOTTOCODE	LATITUDE	LONGITUDE	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
5971	Apuri	ash	utrpa	utrpa	u ʈ p a		2	apur1253	-12.89	-75.81	u ʈ p a	V C C V	u ʈ - p a	u ʈ p a	V C C V
5972	Apurimac	ash	uspa	uspa	u s p a		2	east2551	-13.89	-73.14	u s p a	V C C V	u s - p a	u s p a	V C C V
5974	Atalla	ash	učpa	učpa	u tʃ p a		2	huan1249	-12.76	-74.87	u tʃ p a	V C C V	u tʃ - p a	u tʃ p a	V C C V
5975	Ayacucho	ash	uchpa	uchpa	u tʃ p a		2	ayac1239	-13.85	-74.32	u tʃ p a	V C C V	u tʃ - p a	u tʃ p a	V C C V
7243	Azuay	ash	uchupa	uchupa	u tʃ p a		2	azua1234	-2.48	-78.97	u tʃ p a	V C C V	u tʃ u p a	u tʃ u p a	V C V C V
5978	Chachapoyas	ash	uĉpa	uĉpa	u ʈʂ p a		2	chac1250	-6.27	-77.66	u ʈʂ p a	V C C V	u ʈʂ - p a	u ʈʂ p a	V C C V
5980	Chetilla	ash	uŝpa	uŝpa	u ʂ p a		2	caja1238	-7.09	-78.32	u ʂ p a	V C C V	u ʂ - p a	u ʂ p a	V C C V
5985	Huallaga	ash	učpa	učpa	u tʃ p a		2	hual1241	-9.57	-75.59	u tʃ p a	V C C V	u tʃ - p a	u tʃ p a	V C C V
5988	Huangascar	ash	utrpa	utrpa	u ʈ p a		2	azan1238	-12.9	-75.83	u ʈ p a	V C C V	u ʈ - p a	u ʈ p a	V C C V
5989	HuarazHuailas	ash	uchpa	uchpa	u tʃ p a		2	huai1241	-9.52	-77.52	u tʃ p a	V C C V	u tʃ - p a	u tʃ p a	V C C V
5990	Imbabura	ash	uchufa	uchufa	u tʃ f a		2	imba1240	-0.23	-78.26	u tʃ f a	V C C V	u tʃ u f a	u tʃ u f a	V C V C V
5991	Inkawasi	ash	uĉpa	uĉpa	u ʈʂ p a		2	lamb1276	-6.17	-79.47	u ʈʂ p a	V C C V	u ʈʂ - p a	u ʈʂ p a	V C C V
7328	Jauja	ash	utrpa	utrpa	u ʈʂ p a		2	jauj1238	-11.67	-75.28	u ʈʂ p a	V C C V	u ʈʂ - p a	u ʈʂ p a	V C C V
5998	Maragua	ash	ušpha	ušpha	u ʃ pʰ a		2	sout2991	-18.96	-65.78	u ʃ pʰ a	V C C V	u ʃ - pʰ a	u ʃ pʰ a	V C C V
5999	Napo	ash	ushpa	ushpa	u ʃ p a		2	napo1242	-0.04	-76.23	u ʃ p a	V C C V	u ʃ - p a	u ʃ p a	V C C V
6000	Pacaraos	ash	utrpa	utrpa	u ʈʂ p a		2	paca1245	-11.14	-76.73	u ʈʂ p a	V C C V	u ʈʂ - p a	u ʈʂ p a	V C C V
6004	Puno	ash	uspha	uspha	u s pʰ a		2	puno1238	-14.61	-70.21	u s pʰ a	V C C V	u s - pʰ a	u s pʰ a	V C C V
